, Alcoholic Beverages, Champagne Toast, Coffee + Tea Service, Credit Card Processing Fee, Decor, Delivery, Equipment - TBD, Equipment Rentals, Equipment Rentals - TBD, Event Menu, Event Personnel, Florals, Florals - Outside, Gratuity, In House Equipment, In House Linens, In House Tables & Chairs, Lighting, Our Gift to You!, Service Charge, Soft Beverages, Specialty Menu Items, Specialty Soft Beverages, Subtotal, Suggestions & Options, Sweet Treats, Tenting, Total Discount, Valet, Venue Fee, Venue to Provide, Wedding Cake, Wine Service with Dinner,AE,Additional Fee,Additional Fee tax,Adult Guests,Alcoholic Beverages,Alcoholic Beverages Discount,CIS #,Champagne Toast,Champagne Toast Discount,Coffee + Tea Service,Coffee + Tea Service Discount,Credit Card Processing Fee,Credit Card Processing Fee Discount,Customer,Decor,Decor Discount,Definite,Delivery,Delivery Discount,Discounts,Entered By,Entered Date,Equipment - TBD,Equipment - TBD Discount,Equipment Rentals,Equipment Rentals - TBD,Equipment Rentals - TBD Discount,Equipment Rentals Discount,Estimate Total,Event Date,Event Menu,Event Menu Discount,Event Personnel,Event Personnel Discount,Event#,Florals,Florals - Outside,Florals - Outside Discount,Florals Discount,Gratuity,Gratuity Discount,In House Equipment,In House Equipment Discount,In House Linens,In House Linens Discount,In House Tables & Chairs,In House Tables & Chairs Discount,Lighting,Lighting Discount,Our Gift to You!,Our Gift to You! Discount,Sales Tax,Service Charge,Service Charge Discount,Soft Beverages,Soft Beverages Discount,Specialty Menu Items,Specialty Menu Items Discount,Specialty Soft Beverages,Specialty Soft Beverages Discount,State,Subtotal,Suggestions & Options,Suggestions & Options Discount,Sweet Treats,Sweet Treats Discount,Tenting,Tenting Discount,Valet,Valet Discount,Venue Fee,Venue Fee Discount,Venue to Provide,Venue to Provide Discount,Wedding Cake,Wedding Cake Discount,Wine Service with Dinner,Wine Service with Dinner Discount
229,,,,,,150.0,,2004.0,,4425.0,4294.0,,,,1866.4,,,,,,400.0,,,13439.4,,300.0,,466.6,,1200.0,,,,Courtney,,,100.0,,,14711,,,,,,,Ockerman,,,08/10/16,,,,Porter,06/30/2016,,,,,,,,2017-05-06,,,,,,,,,,,,,,,,,,,,,,1343.94,,,,,,,,,DC,,,,,,,,,,,,,,,,,
230,,,,,,150.0,,,,2557.5,2992.0,,,,1004.15,,,,,,95.0,,,7998.65,,,,180.0,,1200.0,,,,Courtney,,,95.0,,,14208,,,,,,,Fontenot,,,08/15/16,,,,Porter,05/19/2016,,,,,,,,2017-05-07,,,,,,,,,,,,,,,,,,,,,,505.02,,,,,,,,,VA,,,,,,,,,,,,,,,,,
231,,,,,,,,,,50.0,,,,,,,,,,,,,,1479871.11,,,,103436.73,,,,,,Daniela,,,10.0,,,12494,,,,,,,Araujo,,,12/14/2015,,,,Salazar,12/14/2015,,,,,,,,2015-12-17,,,,,,,,,,,,,,,,,,,,,,113889.01,,,,,,,,,VA,,,,,,,,,,,,,,,,,
232,,,,,,,,,,50.0,,,,,,,,,,,,,,50.0,,,,75.0,,,,,,Daniela,,,10.0,,,12494,,,,,,,Araujo,,,12/14/15,,,,Salazar,12/14/2015,,,,,,,,2015-12-17,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,VA,,,,,,,,,,,,,,,,,
233,,,,,,,,,,75.0,,,,,,,,,,,,,,75.0,,,,75.0,,,,,,Daniela,,,25.0,,,12596,,,,,,,Figueroa,,,12/23/15,,,,Salazar,12/23/2015,,,,,,,,2015-12-24,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,VA,,,,,,,,,,,,,,,,,
234,,,,,,150.0,,1378.0,,80.0,3213.4,,,,1217.24,,,,,,,132.0,,80.0,,,,867.6,,,,,,Daniela,,,1.0,,,12510,,,,,,,Araujo,,,12/14/15,,,,Salazar,12/14/2015,,,,,,,,2015-12-24,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,VA,,,,,,,,,,,,,,,,,
235,,,100.0,,,150.0,,1378.0,,8943.0,3213.4,,,1250.0,1217.24,31.0,,,,,260.0,132.0,97.5,15033.64,,390.0,,867.6,,,,,,Daniela,,,132.0,,,9956,,,,,,,Weisz,,,06/11/15,,,,Salazar,04/22/2015,,,,,,,,2015-12-31,,,,,,,,,,,,,,,,,,,,,,1503.36,,,,,,,,,DC,,,,,,,,,,,,,,,,,
236,,,100.0,,,150.0,,,,1950.0,2462.0,,,1250.0,1027.76,31.0,,,,,260.0,31.9,97.5,7600.16,,390.0,,832.0,,,,,,Daniela,,,65.0,,,12474,,,,,,,Top Of The Town,,,12/30/15,,,,Salazar,12/11/2015,,,,,,,,2016-01-16,,,,,,,,,,,,,,,,,,,,,,494.19,,,,,,,,,VA,,,,,,,,,,,,,,,,,
237,,,,,,150.0,,,,780.0,1750.0,,,,809.0,248.0,,,,,243.75,,,4175.75,,195.0,,,,,,,,Daniela,,,65.0,,,12903,,,,,,,World Wildlife Fund,,,01/27/16,,,,Salazar,01/25/2016,,,,,,,,2016-02-02,,,,,,,,,,,,,,,,,,,,,,21.4,,,,,,,,,DC,,,,,,,,,,,,,,,,,
238,,,,,,,,,,214.0,512.0,,,,,,,,,,,,,214.0,,,,,,,,,,Daniela,,,1.0,,,13766,,,,,,,Araujo,,,04/11/16,,,,Salazar,04/11/2016,,,,,,,,2016-04-15,,,,,,,,,,,,,,,,,,,,,,21.4,,,,,,,,,VA,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,512.0,,,,,,,,,,,,,512.0,,,,,,,,,,Daniela,,,4.0,,,14065,,,,,,,Wolfgang Puck Caterering,,,05/09/16,,,,Salazar,05/09/2016,,,,,,,,2016-05-11,,,,,,,,,,,,,,,,,,,,,,51.2,,,,,,,,,DC,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,696.0,,,,,,,,,,,,,696.0,,,,,,,,,,Daniela,,,4.0,,,14148,,,,,,,Wolfgang Puck Caterering,,,05/16/16,,,,Salazar,05/16/2016,,,,,,,,2016-05-19,,,,,,,,,,,,,,,,,,,,,,69.6,,,,,,,,,DC,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,512.0,,,,,,,,,,,,,512.0,,,,,,,,,,Daniela,,,4.0,,,14191,,,,,,,Wolfgang Puck Caterering,,,05/18/16,,,,Salazar,05/18/2016,,,,,,,,2016-05-20,,,,,,,,,,,,,,,,,,,,,,51.2,,,,,,,,,DC,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,512.0,,,,,,,,,,,,,512.0,,,,,,,,,,Daniela,,,4.0,,,14201,,,,,,,Wolfgang Puck Caterering,,,05/19/16,,,,Salazar,05/19/2016,,,,,,,,2016-05-25,,,,,,,,,,,,,,,,,,,,,,51.2,,,,,,,,,DC,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,464.0,,,,,,,,,,,,,464.0,,,,,,,,,,Daniela,,,4.0,,,14202,,,,,,,Wolfgang Puck Caterering,,,05/19/16,,,,Salazar,05/19/2016,,,,,,,,2016-05-26,,,,,,,,,,,,,,,,,,,,,,46.4,,,,,,,,,DC,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,512.0,,,,,,,,,,,,,512.0,,,,,,,,,,Daniela,,,4.0,,,14203,,,,,,,Wolfgang Puck Caterering,,,05/19/16,,,,Salazar,05/19/2016,,,,,,,,2016-05-27,,,,,,,,,,,,,,,,,,,,,,51.2,,,,,,,,,DC,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,512.0,,,,,,,,,,,,,512.0,,,,,,,,,,Daniela,,,4.0,,,14324,,,,,,,Wolfgang Puck Caterering,,,06/01/16,,,,Salazar,06/01/2016,,,,,,,,2016-06-02,,,,,,,,,,,,,,,,,,,,,,51.2,,,,,,,,,DC,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,512.0,,,,,,,,,,,,,512.0,,,,,,,,,,Daniela,,,4.0,,,14325,,,,,,,Wolfgang Puck Caterering,,,06/01/16,,,,Salazar,06/01/2016,,,,,,,,2016-06-03,,,,,,,,,,,,,,,,,,,,,,51.2,,,,,,,,,DC,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,512.0,,,,,,,,,,,,,512.0,,,,,,,,,,Daniela,,,4.0,,,14371,,,,,,,Wolfgang Puck Caterering,,,06/03/16,,,,Salazar,06/03/2016,,,,,,,,2016-06-09,,,,,,,,,,,,,,,,,,,,,,51.2,,,,,,,,,DC,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,512.0,,,,,,,,,,,,,512.0,,,,,,,,,,Daniela,,,4.0,,,14372,,,,,,,Wolfgang Puck Caterering,,,06/03/16,,,,Salazar,06/03/2016,,,,,,,,2016-06-10,,,,,,,,,,,,,,,,,,,,,,51.2,,,,,,,,,DC,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,512.0,,,,,,,,,,,,,512.0,,,,,,,,,,Daniela,,,4.0,,,14434,,,,,,,Wolfgang Puck Caterering,,,06/08/16,,,,Colin,06/08/2016,,,,,,,,2016-06-14,,,,,,,,,,,,,,,,,,,,,,51.2,,,,,,,,,DC,,,,,,,,,,,,,,,,,
250,,,,,,,,,,40.0,512.0,,,,,,,,,,,,,512.0,,,,40.0,,,,,,Daniela,,,4.0,,,14435,,,,,,,Wolfgang Puck Caterering,,,06/14/16,,,,Salazar,06/08/2016,,,,,,,,2016-06-15,,,,,,,,,,,,,,,,,,,,,,51.2,,,,,,,,,DC,,,,,,,,,,,,,,,,,
251,,,,,,,,,,40.0,384.0,,,,,,,,,,,,,40.0,,,,40.0,,,,,,Daniela,,,40.0,,,14568,,,,,,,Figueroa,,,06/17/16,,,,Salazar,06/17/2016,,,,,,,,2016-06-18,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,VA,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,384.0,,,,,,,,,,,,,384.0,,,,,,,,,,Daniela,,,4.0,,,14559,,,,,,,Wolfgang Puck Caterering,,,06/17/16,,,,Colin,06/17/2016,,,,,,,,2016-06-20,,,,,,,,,,,,,,,,,,,,,,38.4,,,,,,,,,DC,,,,,,,,,,,,,,,,,
253,,,,,,,,,,150.0,384.0,,,,,,,,,,,,,384.0,,,,,,,,,,Daniela,,,4.0,,,14560,,,,,,,Wolfgang Puck Caterering,,,06/17/16,,,,Colin,06/17/2016,,,,,,,,2016-06-21,,,,,,,,,,,,,,,,,,,,,,38.4,,,,,,,,,DC,,,,,,,,,,,,,,,,,
254,,,,,,,,,,150.0,576.0,,,,,,,,,,,,,150.0,,,,,,,,,,Daniela,,,1.0,,,14681,,,,,,,Araujo,,,06/28/16,,,,Salazar,06/28/2016,,,,,,,,2016-06-28,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,VA,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,576.0,,,,,,,,,,,,,576.0,,,,,,,,,,Daniela,,,4.0,,,14561,,,,,,,Wolfgang Puck Caterering,,,06/17/16,,,,Colin,06/17/2016,,,,,,,,2016-07-02,,,,,,,,,,,,,,,,,,,,,,57.6,,,,,,,,,DC,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,432.0,,,,,,,,,,,,,432.0,,,,,,,,,,Daniela,,,4.0,,,14562,,,,,,,Wolfgang Puck Caterering,,,06/17/16,,,,Colin,06/17/2016,,,,,,,,2016-07-03,,,,,,,,,,,,,,,,,,,,,,43.2,,,,,,,,,DC,,,,,,,,,,,,,,,,,
257,,,,,,75.0,,,,3360.0,288.0,,,,1448.46,550.0,,,,,250.0,,,288.0,,620.0,,1129.94,,,,,,Daniela,,,4.0,,,14618,,,,,,,Wolfgang Puck Caterering,,,06/23/16,,,,Colin,06/23/2016,,,,,,,,2016-07-04,,,,,,,,,,,,,,,,,,,,,,28.8,,,,,,,,,DC,,,,,,,,,,,,,,,,,
258,,,,,,75.0,,,,3360.0,1710.0,,,,1448.46,550.0,,,,,250.0,,,8013.46,,620.0,,1129.94,,,,,,Daniela,,,120.0,,,15461,,,,,,,Peterson Institute for International Economics,,,09/16/16,,,,Salazar,09/12/2016,,,,,,,,2016-09-22,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,DC,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,,1160.0,,,,,,Daniela,,,1.0,,,16368,,,,,,,Hubbard,,,11/16/16,,,,Salazar,11/16/2016,,,,,,,,2016-11-16,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,VA,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,256.0,,,,,,,,,,,,,256.0,,,,1160.0,,,,,,Daniela,,,100.0,,,16119,,,,,,,Josephine Butler Center,,,11/01/16,,,,Salazar,11/01/2016,,,,,,,,2016-11-16,,,,,,,,,,,,,,,,,,,,,,25.6,,,,,,,,,DC,,,,,,,,,,,,,,,,,
261,,,,,,,,,,20.0,256.0,,,,,,,,,,,,,256.0,,,,,,,,,,Daniela,,,4.0,,,16387,,,,,,,Wolfgang Puck Caterering,,,11/16/16,,,,Colin,11/16/2016,,,,,,,,2016-11-17,,,,,,,,,,,,,,,,,,,,,,25.6,,,,,,,,,DC,,,,,,,,,,,,,,,,,
262,,,,,,,,,,20.0,,,,,,,,,,,,,,20.0,,,,72.0,,,,,,Daniela,,,1.0,,,16308,,,,,,,Thaler,,,11/11/16,,,,Salazar,11/11/2016,,,,,,,,2016-11-18,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,VA,,,,,,,,,,,,,,,,,
263,,,,,,,,,,72.0,,,,,,,,,,,,,,72.0,,,,72.0,,,,,,Daniela,,,16.0,,,16555,,,,,,,Araujo,,,12/02/16,,,,Salazar,12/02/2016,,,,,,,,2016-12-02,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,VA,,,,,,,,,,,,,,,,,
264,,,,,,,,,,712.5,3716.5,,,,1462.97,337.5,,,,,570.0,,,6991.47,,192.0,,3780.0,,,,,,Daniela,,,100.0,,,16494,,,,,,,Main Event Caterers,,,11/28/16,,,,Burford,11/28/2016,,,,,,,,2016-12-03,,,,,,,,,,,,,,,,,,,,,,478.47,,,,,,,,,VA,,,,,,,,,,,,,,,,,
265,,,,,,,,,,712.5,3716.5,,,,1462.97,337.5,,,,,570.0,,,6991.47,,192.0,,2162.98,,,,,,Daniela,,,95.0,,,15811,,,,,,,VonGlehn,,,10/27/16,,,,Salazar,10/11/2016,,,,,,,,2016-12-16,,,,,,,,,,,,,,,,,,,,,,478.47,,,,,,,,,MD,,,,,,,,,,,,,,,,,
266,,,,,,,,,,188.95,,,,,205.59,,,,,,,,,188.95,,,,417.41,,,,,,Daniela,,,1.0,,,16999,,,,,,,Carpenter,,,01/09/17,,,,Salazar,01/09/2017,,,,,,,,2017-01-09,,,,,,,,,,,,,,,,,,,,,,18.9,,,,,,,,,MD,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,205.59,,,,,,,,,205.59,,,,417.41,,,,,,Daniela,,,1.0,,,17430,,,,,,,Salazar,,,02/08/17,,,,Salazar,02/08/2017,,,,,,,,2017-02-11,,,,,,,,,,,,,,,,,,,,,,12.34,,,,,,,,,MD,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,,,,51530.02,,,,6384.1,,,,,,Daniela,,,130.0,,,17262,,,,,,,Thevoz,,,02/02/17,,,,Salazar,01/25/2017,,,,,,,,2017-02-24,,,,,,,,,,,,,,,,,,,,,,3439.36,,,,,,,,,VA,,,,,,,,,,,,,,,,,
269,,,,,,150.0,,1336.0,,4898.75,5059.5,,,,2749.59,,,,,,548.0,210.0,,51530.02,,548.0,,16921.03,,,,,,Darcy,,,137.0,,,9666,,,,,,,Coulis,,,6/29/2015,,,,Cheung,3/31/2015,,,,,,,,2016-05-28,,,,,,,,,,,,,,,,,,,,,,3439.36,,,,,,,,,MD,,,,,,,,,,,,,,,,,
270,,,,,,150.0,,1336.0,,4898.75,5059.5,,,,2749.59,,,,,,548.0,210.0,,15499.84,,548.0,,187.5,,,,,,Darcy,,,137.0,,,9666,,,,,,,Coulis,,,06/29/15,,,,Cheung,03/31/2015,,,,,,,,2016-05-28,,,,,,,,,,,,,,,,,,,,,,1169.19,,,,,,,,,MD,,,,,,,,,,,,,,,,,
271,,,,,,,,,,1335.0,686.0,,,,300.0,,,,,,60.0,,,15499.84,,180.0,,187.5,,,,,,Elyse,,,60.0,,,12470,,,,,,,Saint John Paul II National Shrine,,,12/11/2015,,,,McFadden,12/11/2015,,,,,,,,2015-12-18,,,,,,,,,,,,,,,,,,,,,,1169.19,,,,,,,,,DC,,,,,,,,,,,,,,,,,
272,438.0,,,,,150.0,,,,1335.0,686.0,,,,300.0,,,,,,60.0,160.0,,2561.0,,180.0,,287.0,,,,,,Elyse,,,60.0,,,12470,,,,,,,Saint John Paul II National Shrine,,,12/11/15,,,,McFadden,12/11/2015,,,,,,,,2015-12-18,,,,,,,,,,,,,,,,,,,,,,300.6,,,,,,,,,DC,,,,,,,,,,,,,,,,,
273,438.0,,,,,150.0,,640.5,,960.0,1226.0,,,,404.0,266.5,,,,,150.0,160.0,,3808.0,,320.0,1432.08,200.0,,,,,,Elyse,,,40.0,,,12055,,,,,,,Ideal Innovation Inc,,,11/30/15,,,,McFadden,11/04/2015,,,,,,,,2015-12-18,,,,,,,,,,,,,,,,,,,,,,300.6,,,,,,,,,VA,,,,,,,,,,,,,,,,,
274,,57.0,105.0,,,150.0,,640.5,,2262.0,1330.0,,,,373.62,266.5,,,,,312.0,95.0,,6861.7,,,1432.08,266.5,,,,,,Elyse,,,78.0,,,12169,,,,,,,Thomas,,,11/19/15,,,,McFadden,11/10/2015,,,,,,,,2015-12-19,,,,,,,,,,,,,,,,,,,,,,509.46,,,,,,,,,VA,,,,,,,,,,,,,,,,,
275,,57.0,105.0,,,150.0,,,,2052.0,2608.0,,,,1041.36,,,,,,228.0,15.95,,6107.31,,400.0,,615.0,,,,,,Elyse,,,57.0,,,10845,,,,,,,Top Of The Town,,,08/05/15,,,,McFadden,07/27/2015,,,,,,,,2015-12-20,,,,,,,,,,,,,,,,,,,,,,464.76,,,,,,,,,VA,,,,,,,,,,,,,,,,,
276,,,,,,150.0,,,,3924.0,1302.0,,,,949.9,,,,,,,,,6725.9,,400.0,,530.1,,,,,,Elyse,,,100.0,,,12377,,,,,,,Hawthorne,,,12/11/15,,,,McFadden,12/02/2015,,,,,,,,2015-12-20,,,,,,,,,,,,,,,,,,,,,,567.51,,,,,,,,,VA,,,,,,,,,,,,,,,,,
277,,,50.0,,,150.0,,,,1385.5,896.0,,,,50.0,62.0,,,,,,,,1777.5,,192.0,,,,,,,,Elyse,,,26.0,,,12166,,,,,,,Miller,,,11/30/15,,,,McFadden,11/10/2015,,,,,,,,2015-12-24,,,,,,,,,,,,,,,,,,,,,,160.75,,,,,,,,,VA,,,,,,,,,,,,,,,,,
278,,,50.0,,,150.0,,,,786.0,896.0,,,,140.0,62.0,,,,,,,,2244.0,,160.0,,,,,,,,Elyse,,,20.0,,,12701,,,,,,,American Foreign Policy Council,,,01/06/16,,,,McFadden,01/06/2016,,,,,,,,2016-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC,,,,,,,,,,,,,,,,,
279,,,,,,75.0,,,,300.0,,,,,,,,,,,,,,200.0,,,,,,,,,,Elyse,,,3.0,,,11105 T1,,,,,,,Schwarzber,,,12/31/15,,,,McFadden,12/31/2015,,,,,,,,2016-01-15,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,VA,,,,,,,,,,,,,,,,,
280,,,42.5,,,75.0,,,,300.0,896.0,,,,119.0,62.0,,,,,,,,375.0,,136.0,,,,,,,,Elyse,,,8.0,,,12796,,,,,,,Lareau,,,01/13/16,,,,McFadden,01/12/2016,,,,,,,,2016-01-16,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,VA,,,,,,,,,,,,,,,,,
281,,,42.5,,,150.0,,,,493.0,896.0,,,,119.0,62.0,,,,,,,,1898.5,,136.0,,,,,,,,Elyse,,,17.0,,,12803,,,,,,,American Foreign Policy Council,,,01/13/16,,,,McFadden,01/13/2016,,,,,,,,2016-01-19,,,,,,,,,,,,,,,,,,,,,,6.82,,,,,,,,,DC,,,,,,,,,,,,,,,,,
282,,,180.0,,,150.0,,1842.5,,68.18,4954.0,865.0,,,1984.5,,,,,,720.0,,,68.18,,1080.0,,4647.5,,,,,,Elyse,,,3.0,,,12214 T1,,,,,,,McDermott,,,01/26/16,,,,McFadden,01/26/2016,,,,,,,,2016-02-03,,,,,,,,,,,,,,,,,,,,,,6.82,,,,,,,,,VA,,,,,,,,,,,,,,,,,
283,,,180.0,,,150.0,,1842.5,,8280.0,4954.0,865.0,,,1984.5,,,,,,720.0,,,20056.0,,1080.0,,4647.5,,,,,,Elyse,,,180.0,,,11942,,,,,,,BerkleyNet,,,11/10/15,,,,McFadden,10/27/2015,,,,,,,,2016-02-27,,,,,,,,,,,,,,,,,,,,,,1604.76,,,,,,,,,VA,,,,,,,,,,,,,,,,,
284,,,175.0,,,100.0,,,,300.0,2702.0,,,,1753.32,31.0,,,,,,72.0,,480.0,,80.0,,250.0,,,,,,Elyse,,,20.0,,,13335,,,,,,,2U,,,03/01/16,,,,McFadden,02/29/2016,,,,,,,,2016-03-02,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,MD,,,,,,,,,,,,,,,,,
285,,,175.0,,,150.0,,3027.0,,3348.0,2702.0,,,,1753.32,31.0,,,,,320.0,72.0,,8081.32,,1060.0,,250.0,,,,,,Elyse,,,111.0,,,12669,,,,,,,Top Of The Town,,,01/04/16,,,,McFadden,01/04/2016,,,,,,,,2016-03-05,,,,,,,,,,,,,,,,,,,,,,628.68,,,,,,,,,VA,,,,,,,,,,,,,,,,,
286,,,160.0,,,150.0,,3027.0,,4950.0,2756.5,,,,360.0,,,,,,320.0,,,12423.5,,1060.0,,1506.4,,,,,,Elyse,,,85.0,,,12942,,,,,,,World Wildlife Fund,,,02/22/16,,,,McFadden,01/27/2016,,,,,,,,2016-03-07,,,,,,,,,,,,,,,,,,,,,,232.06,,,,,,,,,DC,,,,,,,,,,,,,,,,,
287,,,170.0,,,150.0,,35.0,,1630.0,476.0,,,,360.0,,,,,,340.0,,,2819.0,,168.0,,1085.6,,,,,,Elyse,,,60.0,,,13338,,,,,,,Tanner,,,03/02/16,,,,McFadden,02/29/2016,,,,,,,,2016-03-07,,,,,,,,,,,,,,,,,,,,,,232.06,,,,,,,,,VA,,,,,,,,,,,,,,,,,
288,,,170.0,,,150.0,,1448.0,,3195.0,2333.0,,,,,,,,,,340.0,,,7976.0,,340.0,,1085.6,,,,,,Elyse,,,85.0,,,12981,,,,,,,World Wildlife Fund,,,02/22/16,,,,McFadden,02/01/2016,,,,,,,,2016-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC,,,,,,,,,,,,,,,,,
289,,,100.0,,,150.0,,1880.0,,2895.0,2581.0,,,,610.65,,,,,,200.0,,,8006.0,,200.0,,831.0,,,,,,Elyse,,,50.0,,,12989,,,,,,,World Wildlife Fund,,,02/22/16,,,,Cheung,02/01/2016,,,,,,,,2016-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC,,,,,,,,,,,,,,,,,
290,,,100.0,,,150.0,,1005.0,,2387.5,2104.0,,,,610.65,,,,,,200.0,,,6557.15,,,,1109.5,,,,,,Elyse,,,50.0,,,12992,,,,,,,World Wildlife Fund,,,02/22/16,,,,McFadden,02/01/2016,,,,,,,,2016-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC,,,,,,,,,,,,,,,,,
291,,,,,,150.0,,632.0,,348.0,788.8,,,,,,,,,,,,,1136.8,,,,1109.5,,,,,,Elyse,,,50.0,,,12993,,,,,,,World Wildlife Fund,,,02/22/16,,,,Cheung,02/01/2016,,,,,,,,2016-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC,,,,,,,,,,,,,,,,,
292,340.0,,87.5,,,150.0,,632.0,,1540.0,1574.0,200.0,,,820.3,451.0,,,,,140.0,,,782.0,,280.0,,1129.0,,,,,,Elyse,,,50.0,,,13446,,,,,,,Mexican Cultural Institute,,,03/11/16,,,,McFadden,03/10/2016,,,,,,,,2016-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC,,,,,,,,,,,,,,,,,
293,340.0,,87.5,,,150.0,,,,1540.0,1574.0,200.0,,,820.3,451.0,,,,,140.0,,,5582.8,,280.0,,175.0,,,,,,Elyse,,,35.0,,,13309,,,,,,,Smithsonian National Museum of the American Indian,,,03/07/16,,,,McFadden,02/26/2016,,,,,,,,2016-03-17,,,,,,,,,,,,,,,,,,,,,,264.05,,,,,,,,,DC,,,,,,,,,,,,,,,,,
294,,,45.0,,,150.0,,,,1335.0,1624.0,,,400.0,183.75,93.0,,,,,120.0,,,3550.75,,80.0,,294.56,,,,,,Elyse,,,15.0,,,13128,,,,,,,Yoga Alliance,,,02/23/16,,,,Arline,02/10/2016,,,,,,,,2016-03-18,,,,,,,,,,,,,,,,,,,,,,264.05,,,,,,,,,VA,,,,,,,,,,,,,,,,,
295,,,45.0,,,150.0,,,,970.0,706.0,,,400.0,434.24,31.0,,,,,75.0,,,2740.24,,80.0,,294.56,,,,,,Elyse,,,40.0,,,13165,,,,,,,Rahimi,,,02/22/16,,,,Cheung,02/15/2016,,,,,,,,2016-03-18,,,,,,,,,,,,,,,,,,,,,,173.41,,,,,,,,,MD,,,,,,,,,,,,,,,,,
296,,,45.0,,,150.0,,734.6,,480.0,966.0,,,120.0,147.0,31.0,,,,,75.0,,,1894.0,,,,,,,,,,Elyse,,,15.0,,,13129,,,,,,,Yoga Alliance,,,02/23/16,,,,Arline,02/10/2016,,,,,,,,2016-03-19,,,,,,,,,,,,,,,,,,,,,,128.64,,,,,,,,,VA,,,,,,,,,,,,,,,,,
297,,,125.0,,,150.0,,734.6,,3775.8,3582.0,,,120.0,2154.12,341.0,,,,,435.0,,,11076.52,,300.0,,379.2,,,,,,Elyse,,,116.0,,,12326,,,,,,,Robinson,,,01/27/16,,,,McFadden,11/25/2015,,,,,,,,2016-03-19,,,,,,,,,,,,,,,,,,,,,,821.83,,,,,,,,,VA,,,,,,,,,,,,,,,,,
298,,,187.5,,,150.0,,495.0,,1404.0,3121.0,,,550.0,2148.8,341.0,,,,,741.0,,,9438.3,,300.0,,379.2,,,,,,Elyse,,,156.0,,,12165,,,,,,,Rahimi,,,01/22/16,,,,Cheung,11/10/2015,,,,,,,,2016-03-19,,,,,,,,,,,,,,,,,,,,,,629.6,,,,,,,,,MD,,,,,,,,,,,,,,,,,
299,,,37.5,,,75.0,,,,620.0,2260.0,,,,186.25,31.0,,,,,,15.95,,918.75,,,,840.0,,,,,,Elyse,,,25.0,,,13409,,,,,,,Nadeau,,,03/10/16,,,,,03/07/2016,,,,,,,,2016-03-20,,,,,,,,,,,,,,,,,,,,,,91.88,,,,,,,,,DC,,,,,,,,,,,,,,,,,
300,,,175.0,,,150.0,,531.0,,2266.25,2260.0,,,,1427.3,31.0,,,,,35.0,15.95,,6175.5,,240.0,,840.0,,,,,,Elyse,,,70.0,,,8373,,,,,,,Top of the Town,,,01/27/16,,,,Arline,12/03/2014,,,,,,,,2016-03-26,,,,,,,,,,,,,,,,,,,,,,468.83,,,,,,,,,VA,,,,,,,,,,,,,,,,,
301,,,,,,150.0,,531.0,,1610.0,1446.0,,,,500.0,176.0,,,,,35.0,,,4012.0,,240.0,,946.4,,,,,,Elyse,,,35.0,,,12467,,,,,,,Conservation International,,,02/01/16,,,,Arline,12/10/2015,,,,,,,,2016-03-30,,,,,,,,,,,,,,,,,,,,,,307.12,,,,,,,,,VA,,,,,,,,,,,,,,,,,
