"REVENUE FORECAST"
"Main Event Caterers"
"Event Date Range: 2/13/2017 through 4/14/2017"
"Event Location: all"
"Event Status: Definite, Tentative"
"Account Executive: all"
"Business Unit: all"

Note - All invoice amounts include sales tax where applicable.
Estimate amounts from total estimates minimum amount option.

"Business Unit","Event Date","Event#","Customer","Event Name","AE","Guests","Initial Estimate","Estimate","Client Invoice","CXL Reason","CXL Comment",
"Main Event","3/30/2017","17788","Bates White, LLC","Bates White Economic Consulting Luncheon","Tracy","100","0.00","10,345.25","0.00",,,
"Main Event","3/31/2017","17264","Faul","Afternoon Reception","Daniela","500","0.00","16,545.00","0.00",,,
"Main Event","3/31/2017","17859","Georgetown University McDonough School of Business","BGS Honor Society Induction","Tracy","60","0.00","2,665.60","0.00",,,
"Main Event","4/1/2017","17671","L'Enfant Cafe","La Boum Brunch at Capitale","Spenc","115","0.00","0.00","0.00",,,
"Main Event","4/1/2017","17730","Georgetown University Medical Center Biotechnology Program","20th Anniversary of the Biotechnology Program","Tracy","250","0.00","13,423.35","0.00",,,
"Main Event","4/1/2017","17195","Malson","An Engagement Celedration","Tracy","25","0.00","2,742.30","0.00",,,
"Main Event","4/2/2017","16507","Marshall","Family Wedding Brunch","Tracy","75","0.00","5,904.98","0.00",,,
"Main Event","4/2/2017","17691","L'Enfant Cafe","La Boum Brunch at Capitale","Spenc","115","0.00","0.00","0.00",,,
"Main Event","4/4/2017","17826","The Washington Post","CEO Series Breakfast","Mich","150","0.00","4,216.50","0.00",,,
"Main Event","4/4/2017","17733","Cantor Fitzgerald","Closing Cocktail Reception","Tracy","60","0.00","4,641.79","0.00",,,
"","4/5/2017","17920","Main Event Caterers","Monthly Birthday Cake","Meg","20","0.00","0.00","0.00",,,
"Main Event","4/5/2017","17561 T1","Lee","Pam & Will's Wedding","Elyse","3","0.00","0.00","0.00",,,
"Main Event","4/5/2017","16304","The George Washington University","Fulbright Enrichment Seminar Dinner","Tracy","110","0.00","7,882.84","0.00",,,
"Main Event","4/5/2017","17828","The Washington Post",""A New Line" Reception","Mich","200","0.00","6,870.75","0.00",,,
"Main Event","4/6/2017","17829","The Washington Post","Checks and Balances Breakfast","Mich","150","0.00","5,652.90","0.00",,,
"Main Event","4/6/2017","17439","Florida House on Capitol Hill","Conference","Spenc","100","0.00","9,266.50","0.00",,,
"Main Event","4/6/2017","17577","Medstar Georgetown University Hospital","Medstar Georgetown Hospital","Tracy","370","0.00","13,828.75","0.00",,,
"Main Event","4/6/2017","16950","International Spy Museum","Spy Luncheon","Sam","75","0.00","5,270.20","3,425.50",,,
"Main Event","4/6/2017","17797","Wesley Housing","Appreciation Event","cb","120","0.00","6,962.00","0.00",,,
"Main Event","4/6/2017","17629","Georgetown University School of Foreign Service","Cocktail Party","Courtney","300","0.00","13,558.50","0.00",,,
"Main Event","4/6/2017","18010","Smithsonian American Art Museum","June Schwarcz & Voulkos Exhibit Opening Reception","Tracy","350","0.00","20,127.50","0.00",,,
"Main Event","4/7/2017","17578","Medstar Georgetown University Hospital","Medstar Georgetown Hospital","Tracy","339","0.00","11,966.12","0.00",,,
"Main Event","4/7/2017","17725","Davis Polk & Wardwell","Your Reception","Courtney","40","0.00","2,245.76","0.00",,,
"Main Event","4/7/2017","17737","Borden","Rehearsal Dinner","Bryan","30","0.00","0.00","0.00",,,
"Main Event","4/7/2017","17796","Grieser","Richard and Andrea's Wedding Reception","cb","50","0.00","3,931.50","0.00",,,
"Main Event","4/8/2017","17672","L'Enfant Cafe","La Boum Brunch at Capitale","Spenc","115","0.00","0.00","0.00",,,
"Main Event","4/8/2017","17841","Kumbakonam","Preeti & Arvin's Wedding","Spenc","100","0.00","9,929.22","0.00",,,
"Main Event","4/8/2017","16305","The George Washington University","Fulbright Enrichment Seminar Dinner","Tracy","110","0.00","9,494.84","0.00",,,
"Main Event","4/9/2017","17692","L'Enfant Cafe","La Boum Brunch at Capitale","Spenc","115","0.00","0.00","0.00",,,
"Main Event","4/9/2017","17856","Reston Community Center","Volunteer Recognition DInner","Sam","80","0.00","7,337.50","0.00",,,
"Main Event","4/12/2017","17972","Preston","Celebration Of Life Reception","Elyse","50","0.00","3,004.23","0.00",,,
"Main Event","4/12/2017","17976","Georgetown University Institute for the Study of Diplomacy","ISD Board Meeting Dinner","Tracy","42","0.00","5,371.43","0.00",,,
"Main Event","4/12/2017","17770","Hereditary Society Community","Annual Reception","Courtney","60","0.00","4,293.00","0.00",,,
"Main Event","4/14/2017","17960","Ricondo and Associates","Your Office Party!","Elyse","45","0.00","5,417.60","0.00",,,

,,,,"TOTAL FOR TENTATIVE EVENTS",,,"4,000.00","293,653.17","3,425.50",
